file_name,TP,FP,FN,precision,recall,f1_score,detail_type,field_name,incorrect_value,judgment,reason
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Incorrect_Field,Sidewall width,250 nm,FP,原文指出侧壁宽度 (t3) 约为 20 nm，而不是 250 nm。250 nm 是底部金属层的宽度 (t2)。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Incorrect_Field,Sidewall thickness,30 nm,FP,原文指出侧壁尺寸 (t3) 为 20 nm，而不是 30 nm。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Incorrect_Field,Negative Reflection (NR) Efficiency,> 150,FP,原文指出 150 是消光比 (NR_TM/NR_TE)，而不是负反射效率。效率是一个百分比。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Incorrect_Field,Reflection (R) Efficiency,> 30,FP,原文指出 30 是消光比 (R_TE/R_TM)，而不是反射效率。效率是一个百分比。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Incorrect_Field,Reflection (R) Efficiency,< 0.1,FP,原文没有提供 PBS-2 在指定条件下 TM 光的反射效率值；该值是推断出来的，而非直接陈述。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Incorrect_Field,Working wavelength range,Entire visible light range,FP,原文仅提到全息图在“宽波长范围”内工作，并未具体说明是“整个可见光范围”。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Missing_Field,TE-metal-like/TM-dielectric-like feature explanation,,FN,文本解释了该材料的核心物理特性，即 TE 光表现为金属特性，TM 光表现为介质特性，这是理解其各向异性的关键，但提取内容中缺失了这一核心概念。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Missing_Field,Destructive Fabry-Perot (F-P) resonance mechanism,,FN,文本详细说明了利用双层金属膜之间的破坏性法布里-珀罗共振来抑制 TM 反射，从而获得高消光比，这是一个关键的设计机制，但在提取内容中被忽略了。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Missing_Field,Design guidelines for the beam splitter,,FN,文本在讨论部分总结了设计此类分束器的三个关键指导原则（缝宽决定波长下限，光栅周期决定波长上限，缝高选择用于抑制TM反射），这是重要的实践结论，但提取内容中缺失。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Missing_Field,Specific parameters for hologram reconstruction,,FN,文本提供了全息图重建的具体参数，包括激光波长 (532 nm)、入射角 (75°) 和衍射角 (55°)，这些是验证其性能的关键数据，但在提取内容中被遗漏。
10.1038srep06491-0.json,24,6,5,0.8,0.6857,0.7385,Missing_Field,Definitions of 'Negative Reflection (NR)' and 'Reflection (R)',,FN,文本明确定义了“负反射(NR)”为进入负一级衍射级的反射，“反射(R)”为零级衍射的反射。这些定义对于正确理解性能指标至关重要，但在提取内容中缺失。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Incorrect_Field,Pressure coefficient of conduction band edge,25100 meV/GPa,FP,原文指出导带边缘的典型速率约为 100 meV/GPa，而不是 25100 meV/GPa。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Incorrect_Field,Pressure coefficient of valence band edge,11 meV/GPa,FP,原文指出价带边缘以 -11 meV/GPa 的速率向下移动，因此该值缺少负号。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Incorrect_Field,Activation Energy for Non-Radiative Recombination,17 meV,FP,原文指出在 0 GPa 下的激活能为 90 ± 30 meV，在 1.71 GPa 下为 25 ± 4 meV。17 meV 的值是在 2 GPa 下的电子限制能量，而不是激活能。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Missing_Field,关于少数载流子寿命的结论,,FN,原文得出的关键结论是，这些发现解释了为什么无镓 T2SL 结构具有更长的少数载流子寿命，这是红外光电探测器的一个关键优势。这个结论性陈述在提取内容中被忽略了。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Missing_Field,主要复合机制的变化,,FN,原文明确指出，分析显示主要复合机制从辐射复合转变为缺陷相关的非辐射复合，这是通过功率依赖性分析（幂律指数从 ~1 变为 ~2）得出的。这个关键的分析发现缺失了。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Missing_Field,0 GPa 下的激活能,,FN,原文报告了在 0 GPa 下的激活能为 90 ± 30 meV，这是一个关键数据点，但在提取内容中缺失了。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Missing_Field,1.71 GPa 下的激活能,,FN,原文报告了在 1.71 GPa 下的激活能为 25 ± 4 meV，这是一个关键数据点，但在提取内容中缺失了。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Missing_Field,精确的交叠压力,,FN,原文确定了更精确的交叠压力为 1.96 ± 0.04 GPa，而不仅仅是“在 1.9 GPa 附近淬灭”。这个精确值缺失了。
10.10631.4919549-28.json,17,3,6,0.85,0.6538,0.7391,Missing_Field,交叠处的能量位移,,FN,原文指出在交叠处的能量位移为 0.186 ± 0.01 eV。这个关键数据点缺失了。
10.10631.5048894-19.json,15,3,1,0.8333,0.7895,0.8108,Incorrect_Field,Peak Adjacent Channel Crosstalk,-40.253 dB,FP,原文指出相邻信道串扰 (AX) 为 35.696 dB，而背景串扰 (BX) 为 -40.253 dB。JSON 错误地将 -40.253 dB 标记为相邻信道串扰。
10.10631.5048894-19.json,15,3,1,0.8333,0.7895,0.8108,Missing_Field,"Design2 的恒定设计参数 (dd, dx)",,FN,原文明确指出，对于 Design2，参数 dd 和 dx 分别保持在 1 µm 和 3.5 µm 不变，这是设计比较中的一个关键信息，但在 JSON 中缺失了。
10.10631.5048894-19.json,15,3,1,0.8333,0.7895,0.8108,Incorrect_Field,Transmission Characteristics,Not explicitly provided for Design2,FP,原文在图 6 中提供了 Design2 的仿真光谱响应，因此该信息并非‘未明确提供’。
